,EnVyUs,TSM,fnatic,Virtus.pro,Natus Vincere,NiP,G2,Cloud9,Luminosity,CLG,Titan,Dignitas,mousesports,Liquid,FlipSid3,E-frag.net,Renegades,Vexed,CSGL,Immunity,Conquest,Winterfox,compLexity,HellRaisers,Enemy,Method,Games Academy,SKDC,Torqued,Nexus,CLG Red,?,SK,OpTic,Splyce,CyberZen,Leader-1,Obey.Alliance,EZG,FaZe,ex-Titan,Gambit,Arcade,Rebels,eXplosive,Quest,FLuffy Gangsters,Binary Dragons,Astralis,LDLC White,PENTA,TheMongolz,PixelFire,Chiefs,DenDD,Lemondogs,MVP.karnal,Tempo Storm,ALTERNATE aTTaX,Ancient,ENCE,Selfless,gBots,x6tence,Orgless,CPH Wolves,RCTIC,LDLC Blue,Epiphany Bolt,Millenium,noKappa,AGG,NRG,Space Soldiers,Preparation,GODSENT,TYLOO,Orbit,Epsilon,Dobry&Gaming,MK,Publiclir.se,Immortals,Escape,Kinguin,X,Echo Fox,Spirit,VG.CyberZen,Heroic,Crowns,iGame.com,LDLC,Platinium,Vega Squadron,fnatic Academy,North,Rogue,BIG,DarkPassage,Misfits,MVP Project,Singularity,Tricked,Red Reserve,Outlaws,HAVU,passions,Imperial,eXtatus,AVANGAR,100 Thieves,AGO,Seed,Unemployed for Christmas,Sprout,Grayhound,Valiance,Quantum Bellator Fire,Windigo,TeamOne,MVP PK,Fragsters,ORDER,eUnited,MIBR,LeftOut,Ghost
2018-02-05,89,,360,132,317,325,395,681,46,,,,388,170,,,137,,,,,,,105,,,,,,,,,843,150,,,,,,980,,194,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,42,140,,,,,,,,,,,,,,41,,115,,,,,144,,140,,46,,119,,,,,,,,,,68,,96,,,45,,,163,49,,,,,,,,
2018-02-12,71,,339,110,300,335,378,745,42,,,,323,314,,,108,,,,,,,100,,,,,55,,,,866,,,,,,,919,,171,,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,45,127,,39,32,,38,,,,,,,,,,,170,,,,,123,,156,,45,,,,,,,,,,,,73,,78,,,43,,,153,,,,,,,,,
2018-02-19,71,,325,119,338,295,391,751,57,,,,365,331,,,121,,,,,,,120,,,,,59,,,,886,,,,,,,928,,177,,,,,,,367,,,,,,,,,,,,,,,,,,,,,,,,55,131,,47,58,,33,,,,,,,,,,,161,,,,,120,,158,,44,,,,,,,,,,,,75,,80,,,39,,,156,,,,,,,,,
2018-02-26,62,,322,118,562,161,450,723,60,,,,664,517,,,216,,,,,,,146,,,,,59,,,,824,,,,,,,928,,165,,,,,,,375,,,,,,,,,,,,,,,,,,,,,,,,61,146,,52,69,,,,,,,,,,,59,,178,,,,,118,,131,,58,,,,,,,,,,,,72,,107,,,38,,,146,,,,,,,,,
2018-03-05,44,,592,102,503,260,383,706,53,,,,597,558,,,201,,,,,,,135,,,,,52,,,,726,,,,,,,937,,157,,,,,,,461,,,,,,,,,,,,,,,,,,,,,,,,55,122,,38,63,,34,,,,,,,,,58,,176,,,,,102,,163,,58,,,,,,,,,,,,67,,74,,,,,,132,,,,,,,,,
2018-03-12,41,,587,107,516,281,368,704,39,,,,610,589,,,204,,,,,,,114,,,,,56,,,,645,,,,,,,934,,166,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,39,128,,54,66,,,,,,,,,,,60,,178,,,,,94,,172,,60,,,,,,,,,,,,70,,73,,,,,,144,39,,,,,,,,
2018-03-19,44,,666,112,534,293,314,749,,,,,605,643,,,210,,,,,,,113,,,,,59,,,,634,,,,,,,903,,165,,,,,,,509,,,,,,,,,,,,,,,,,,,,,,,,64,184,,76,64,,,,,,,,,,,55,,184,,,,,88,,175,,70,,,,,,,,,,,,63,,81,,,,,,128,,82,45,,,,,,
2018-03-26,44,,672,198,543,294,321,694,,,,,687,650,,,215,,,,,,,157,,,,,60,,,,508,,,,,,,893,,161,,,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,85,201,,79,92,,,,,,,,,,,70,,179,,,,,81,,186,,69,,,,,,,,,,,,64,,96,,,,,,123,,73,55,,,,,,
2018-04-02,,,762,237,608,332,367,513,,,,,786,717,,,237,,,,,,,159,,,,,,,,,591,,,,,,,871,,180,,,,,,,626,,,,,,,,,,,,,,,,,,,,,,,,116,227,,94,96,,,,,,,,,,,76,,203,,,,,89,,225,,80,,,,,,,,,,123,,66,,106,,,,,,125,83,77,80,,,,,,
2018-04-09,,,782,257,615,371,378,527,,,,,810,601,,,244,,,,,,,253,,,,,,,,,592,,,,,,,877,,185,,,,,,,651,,,,,,,,,,,,,,,,,,,,,,,,145,257,,116,102,,,,,,,,,,,85,,208,,,,,91,,279,,80,,,,,,,,,,132,,,,122,,,,,,129,96,81,87,105,,,,,
2018-04-16,76,,791,254,620,360,372,652,,,,,799,586,,,244,,,,,,,249,,,,,,,,,584,,,,,,,881,,183,,,,,,,634,,,,,,,,,,,,,,,,,,,,,,,,156,276,,133,99,,,,,,,,,,,88,,205,,,,,,,291,,96,,,,,,,,,,129,,,,123,,,,,,119,106,75,90,111,,,,,
2018-04-23,96,,760,194,739,409,261,598,,,,,670,410,,,188,,,,,,,175,,,,,,,,,461,,,,,,,758,,335,,,,,,,983,,,,,,,,,,,,,,,,,,,,,,,,111,194,,100,76,,,,,,,,,,,58,,148,,,,,,,218,,66,,,,,,,,,,95,,,,88,,,,,57,94,76,,70,81,,,,,
2018-04-30,105,,709,207,747,418,255,508,,,,,674,399,,,192,,,,,,,195,,,,,,,,,427,,,,,,,697,,342,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,154,204,,158,106,,,,,,,,,,,,,135,,,,,,,225,65,63,,,,,,,,,,108,,,,116,,,,,81,61,86,,79,87,,,,,
2018-05-07,83,,604,160,620,328,242,430,,,,,639,321,,,228,,,,,,,154,,,,,,,,,331,,,,,,,839,,264,,,,,,,971,,,,,,,,,,,,,,,,,,,,,,,,132,150,,115,210,,,,,,,,,,,,,105,,,,,,,174,50,,,,,,,,,,,69,,,,93,,,,76,64,,59,,82,71,53,,,,
2018-05-14,90,,595,161,628,349,257,415,,,,,637,299,,,233,,,,,,,158,,,,,,,,,321,,,,,,,843,,272,,,,,,,974,,,,,,,,,,,,,,,,,,,,,,,,123,138,,122,222,,,,,,,,,,,60,,94,,,,,,,178,,69,,,,,,,,,,67,,,,112,,,,79,69,,77,,76,74,,,,,
2018-05-21,81,,455,109,561,258,199,331,,,,,535,397,,,196,,,,,,,154,,,,,,,,,310,93,,,,,,735,,229,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,98,104,,120,162,,,,,,,,,,,,,124,,,,,,,183,,62,,,,,,,,,,53,,,,97,,,,68,,,65,,63,64,,51,,,
2018-05-28,82,,394,101,518,267,166,331,,,,,478,383,,,183,,,,,,,160,,,,,,,,,336,88,,,,,,703,,198,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,91,108,,128,175,,,,,,,,,,,,,118,,,,,,,184,,62,,,,,,,,,,,,76,,102,,,,65,,,55,,61,69,,49,,,
2018-06-04,77,,387,104,683,276,67,308,,,,,536,399,,,198,,,,,,,151,,,,,,,,,373,83,,,,,,710,,194,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,203,126,,142,178,,,,,,,,,,,,,118,,,,,,,246,70,60,,,,,,,,,,,,95,,144,,,,66,,,,,55,63,,55,,,
2018-06-11,,,287,90,574,186,97,223,,,,,447,427,,,169,,,,,,,137,,,,,,,,,326,67,,,,,,566,,164,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,247,95,,111,147,,,,,,,,,,,42,,99,,,,,,,200,54,43,,,,,,,,,,,,79,,123,,,,53,,,46,,42,47,,,,,
2018-06-18,80,,229,159,646,193,105,223,,,,,545,511,,,184,,,,,,,156,,,,,,,,,392,110,,,,,,747,,169,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,281,126,,,190,,,,,,,,,,,,,123,,,,,,,239,61,72,,,,,,125,,,,83,,98,,144,,,,63,,,56,,,,,52,,,
2018-06-25,,,227,155,627,171,100,220,,,,,522,500,,,172,,,,,,,145,,,,,,,,,,109,,,,,,721,,163,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,259,117,,,175,,,,,,,,53,,,,,100,,,,,,,233,54,77,,,,,,100,,,,76,,87,,129,,,,59,,,58,,,,,,380,80,
2018-07-02,,,228,123,676,189,108,224,,,,,429,543,,,167,,,,,,,174,,,,,,,,,,143,,,,,,704,,176,,,,,,,1000,,,,,,,,,,,,66,,,,,,,,,,,,304,136,,,162,,,,,,,,82,,,63,,113,,,,,,,260,,88,,,,,,115,,,,88,,97,,148,,,,,,,76,,,,,,417,96,
2018-07-09,,,270,101,875,152,184,195,,,,,379,444,,,155,,,,,,,135,,,,,,,,,,122,,,,,,724,,147,,,,,,,960,,,,,,,,,,,,130,,,,,,,,,,,,264,113,,,136,,,,,,,,65,,,,,96,,,,,,,244,59,279,,,,,,81,,,,76,,72,,103,,,,,,,47,,,,,,389,82,
2018-07-16,,,275,98,876,161,180,155,,,,,377,412,,,158,,,,,,72,154,,,,,,,,,,110,,,,,,694,,146,,,,,,,932,,,,,,,,,,,,152,,,,,,,,,,,,257,120,,,152,,,,,,,,79,,,,,92,,,,,,,246,75,291,,,,,,86,,,,77,,79,,109,,,,,,,,,,,,,317,91,
2018-07-23,,,265,106,901,181,190,141,,,,,404,460,,,170,,,,,,72,146,,,,,,,,,,147,,,,,,732,,113,,,,,,,923,,,,,,,,,,,,154,,,,,,,,,,,,275,122,,,188,,,,,,,,72,,,,,98,,,,,,,228,77,312,,,,,,94,,,,80,,64,,114,,,,,,,,,,,,,318,81,
2018-07-30,,,253,85,774,137,156,109,,,,,388,503,,,128,,,,,,76,116,,,,,,,,,,134,,,,,,550,,91,,,,,,,1000,,,,,,,,,,,,149,,,,,,,,,,,,195,93,,,149,,,,,,,,72,,,,,78,,,,,,,170,59,277,,,,,,64,,,,78,,,,70,,,59,,,,,,,,,,267,71,
2018-08-06,,,257,110,795,143,159,110,62,,,,396,489,,,131,,,,,,77,124,,,,,,,,,,141,,,,,,557,,116,,,,,,,969,,,,,,,,,,,,141,,,,,,,,,,,,247,85,,,190,,,,,,,,78,,,,,81,,,,,,,176,62,289,,,,,,68,,,,87,,,,,,,62,,,,,,,,,,260,64,
2018-08-13,,,258,100,805,144,164,106,66,,,,362,490,,,126,,,,,,83,131,,,,,,,,,,141,,,,,,482,,109,,,,,,,987,,,,,,,,,,,,145,,,,,,,,,,,,261,75,,,158,,,,,,,,73,,,,,62,,,,,,,173,66,306,,,,,,73,,,,88,,,,64,,,71,,,,,,,,,,261,,
2018-08-20,,,262,93,791,147,168,106,64,,,,369,494,,,129,,,,,,77,131,,,,,,,,,,138,,,,,,462,,114,,,,,,,1000,,,,,,,,,,,,152,,,,,,,,,,,,259,76,,,163,,,,,,,,,,,,,63,,,,,,,182,64,322,,,,,,74,,,,71,,,,76,,,71,,,,,,,66,,,263,,
2018-08-27,,,276,106,843,149,178,114,78,,,,384,498,,,135,,,,,,77,116,,,,,,,,,,102,,,,,,469,,111,,,,,,,1000,,,,,,,,,,,,158,,,,,,,,,,,,272,73,,,164,,,,,,,,85,,,,,,,,,,,,199,83,369,,,,,,,,,,76,,81,,83,,,,,,,,,,71,,70,323,,
2018-09-03,,,220,102,709,271,136,99,81,,,,472,482,,,119,,,,,,70,128,,,,,,,,,,115,,,,,,457,,108,,,,,,,982,,,,,,,,,,,,110,,,,,,,,,,,,243,,,,178,,,,,,,,74,,,,,142,,,,,,,477,70,211,,,,,,,,,,77,,75,,77,,,,,,,,,,76,,,358,,88
2018-09-10,,,223,86,693,329,119,98,,,,,474,536,,,122,,,,,,94,155,,,,,,,,,,133,,,,,,458,,115,,,,,,,1000,,,,,,,,,,,,164,,,,,,,,,,,,227,,,,220,,,,,,,,128,,,,,124,,,,,131,,440,,281,,,,,,,,,,99,,67,,82,,,,,,,,,69,68,,,356,,91
2018-09-17,,,239,90,757,310,149,101,,,,,470,531,,,98,,,,,,125,179,,,,,,,,,,111,,,,,,487,,117,,,,,,,1000,,,,,,,,,,,,148,,,,,,,,,,,,197,,,,212,,,,,,,,131,,,71,,129,,,,,119,,451,,321,,,,,,,,,,100,,,,81,,,,,,,,,69,68,,,397,,89
2018-09-24,,,130,66,734,277,129,87,,,,,326,504,,,83,,,,,,182,212,,,,,,,,,,82,,,,,,413,,92,,,,,,,1000,,,,,,,,,,,,121,,,,,,,,,,,,158,,,,180,,,,,,,,123,,,,,108,,,,,114,,387,,318,,,,,,,,,,69,,61,,69,,,,,,,,,67,60,,,415,,86
